Íîìåð ðàáîòû:,Ñ-74
Íîìåð îòïðàâêè:,353,376,403,404,411
Äàòà ïîëó÷åíèÿ:,20.05.2019
Ìåòîä:,ÍÑÀÌ ¹ 130-ñ
Ýëåìåíò:,Ag
Åäèíèöû èçìåðåíèÿ:,G/T
Íèæíèé ïðåäåë:,,
Âåðõíèé ïðåäåë:,,
107.0,ÐÌÝ-71331,1
108.0,ÐÌÝ-71332,3.6
109.0,ÐÌÝ-71334,1
110.0,ÐÌÝ-71335,1
111.0,ÐÌÝ-71336,1.2
112.0,ÐÌÝ-71337,1
113.0,ÐÌÝ-71338,2.4
114.0,ÐÌÝ-71339,1
115.0,ÐÌÝ-71340,3.4
116.0,ÐÌÝ-71341,2.8
117.0,ÐÌÝ-71342,1.2
118.0,ÐÌÝ-71343,1.6
119.0,ÐÌÝ-71344,2.2
120.0,ÐÌÝ-71345,1
121.0,ÐÌÝ-71346,1.6
122.0,ÐÌÝ-71347,1
123.0,ÐÌÝ-71348,2.4
124.0,ÐÌÝ-71349,1.6
125.0,ÐÌÝ-71350,1
126.0,ÐÌÝ-71351,1
127.0,ÐÌÝ-71352,1.2
128.0,ÐÌÝ-71353,1
129.0,ÐÌÝ-71354,2
130.0,ÐÌÝ-71355,1.8
131.0,ÐÌÝ-71356,5
132.0,ÐÌÝ-71357,1
133.0,ÐÌÝ-71359,1.6
134.0,ÐÌÝ-71360,5
135.0,ÐÌÝ-71361,1
136.0,ÐÌÝ-71362,2.4
177.0,ÐÌÝ-71413,1.6
178.0,ÐÌÝ-71414,2.2
179.0,ÐÌÝ-71415,1
180.0,ÐÌÝ-71418,2.8
181.0,ÐÌÝ-71419,1.2
182.0,ÐÌÝ-71420,1
183.0,ÐÌÝ-71421,3.8
184.0,ÐÌÝ-71422,3.8
185.0,ÐÌÝ-71423,1.8
186.0,ÐÌÝ-71424,1.4
187.0,ÐÌÝ-71425,1.8
188.0,ÐÌÝ-71429,2.4
189.0,ÐÌÝ-71430,2.6
190.0,ÐÌÝ-71431,2.2
191.0,ÐÌÝ-71432,2.8
192.0,ÐÌÝ-71433,2.4
193.0,ÐÌÝ-71434,1.2
194.0,ÐÌÝ-71435,1.2
195.0,ÐÌÝ-71436,1
196.0,ÐÌÝ-71437,1.4
197.0,ÐÌÝ-71438,1
198.0,ÐÌÝ-71442,5
199.0,ÐÌÝ-71443,1.8
200.0,ÐÌÝ-71444,1.2
201.0,ÐÌÝ-71446,1.2
202.0,ÐÌÝ-71447,1
203.0,ÐÌÝ-71448,1
204.0,ÐÌÝ-71449,2
205.0,ÐÌÝ-71451,1
206.0,ÐÌÝ-71453,1
207.0,ÐÌÝ-71454,1
208.0,ÐÌÝ-71455,1
209.0,ÐÌÝ-71456,1
210.0,ÐÌÝ-71457,1
211.0,ÐÌÝ-71458,1
212.0,ÐÌÝ-71459,3.8
